"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MAX"
"79","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"80","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"81","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0","0","0"
"82","0.4","0.4","0.4","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"83","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272","0","0","0"
"84","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"85","0","0","0","0.5454545454545454","0.5454545454545454","0.5454545454545454","0","0","0"
"86","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"87","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272","0","0","0"
"88","0.5","0.5","0.5","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.2","0.2","0.2"
"89","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.5","0.5","0.5"
"90","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5","0.5","0.5"
"91","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"92","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"93","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"94","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"95","0.5454545454545454","0.5454545454545454","0.5454545454545454","0","0","0","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"96","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"97","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"98","0.2","0.2","0.2","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2","0.2","0.2"
"99","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"100","0.22222222222222224","0.22222222222222224","0.22222222222222224","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.20000000000000004","0.20000000000000004","0.20000000000000004"
