"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MAX"
"77","688.0894775390625","688.0894775390625","688.0894775390625","704.2814331054688","704.2814331054688","704.2814331054688","1803.461669921875","1803.461669921875","1803.461669921875"
"78","612.5126342773438","612.5126342773438","612.5126342773438","612.8015747070312","612.8015747070312","612.8015747070312","1667.7655029296875","1667.7655029296875","1667.7655029296875"
"79","613.0582275390625","613.0582275390625","613.0582275390625","612.203125","612.203125","612.203125","1617.77001953125","1617.77001953125","1617.77001953125"
"80","659.5892333984375","659.5892333984375","659.5892333984375","751.2291870117188","751.2291870117188","751.2291870117188","2212.94140625","2212.94140625","2212.94140625"
"81","579.1141967773438","579.1141967773438","579.1141967773438","792.94970703125","792.94970703125","792.94970703125","2391.870361328125","2391.870361328125","2391.870361328125"
"82","637.3228149414062","637.3228149414062","637.3228149414062","583.1795043945312","583.1795043945312","583.1795043945312","1932.6658935546875","1932.6658935546875","1932.6658935546875"
"83","631.6350708007812","631.6350708007812","631.6350708007812","640.7301635742188","640.7301635742188","640.7301635742188","1532.16552734375","1532.16552734375","1532.16552734375"
"84","641.4949951171875","641.4949951171875","641.4949951171875","615.3341064453125","615.3341064453125","615.3341064453125","1697.2275390625","1697.2275390625","1697.2275390625"
"85","587.6250610351562","587.6250610351562","587.6250610351562","706.5380859375","706.5380859375","706.5380859375","2046.928955078125","2046.928955078125","2046.928955078125"
"86","619.9417724609375","619.9417724609375","619.9417724609375","621.16796875","621.16796875","621.16796875","1927.15185546875","1927.15185546875","1927.15185546875"
"87","609.9743041992188","609.9743041992188","609.9743041992188","681.5269775390625","681.5269775390625","681.5269775390625","1764.9964599609375","1764.9964599609375","1764.9964599609375"
"88","652.1572265625","652.1572265625","652.1572265625","642.2993774414062","642.2993774414062","642.2993774414062","2200.447265625","2200.447265625","2200.447265625"
"89","613.2769165039062","613.2769165039062","613.2769165039062","592.9838256835938","592.9838256835938","592.9838256835938","1633.9302978515625","1633.9302978515625","1633.9302978515625"
"90","593.6118774414062","593.6118774414062","593.6118774414062","679.065185546875","679.065185546875","679.065185546875","1912.1343994140625","1912.1343994140625","1912.1343994140625"
"91","597.822509765625","597.822509765625","597.822509765625","831.0176391601562","831.0176391601562","831.0176391601562","2754.655517578125","2754.655517578125","2754.655517578125"
"92","635.0213623046875","635.0213623046875","635.0213623046875","591.0591430664062","591.0591430664062","591.0591430664062","1582.205810546875","1582.205810546875","1582.205810546875"
"93","611.6592407226562","611.6592407226562","611.6592407226562","731.63525390625","731.63525390625","731.63525390625","1574.717529296875","1574.717529296875","1574.717529296875"
"94","575.6919555664062","575.6919555664062","575.6919555664062","772.421875","772.421875","772.421875","1762.332275390625","1762.332275390625","1762.332275390625"
"95","585.4782104492188","585.4782104492188","585.4782104492188","682.068603515625","682.068603515625","682.068603515625","1807.1846923828125","1807.1846923828125","1807.1846923828125"
"96","582.30419921875","582.30419921875","582.30419921875","819.3441162109375","819.3441162109375","819.3441162109375","2572.4990234375","2572.4990234375","2572.4990234375"
"97","596.4048461914062","596.4048461914062","596.4048461914062","609.9915161132812","609.9915161132812","609.9915161132812","1647.527587890625","1647.527587890625","1647.527587890625"
"98","604.7760009765625","604.7760009765625","604.7760009765625","746.0075073242188","746.0075073242188","746.0075073242188","2793.715576171875","2793.715576171875","2793.715576171875"
"99","599.34521484375","599.34521484375","599.34521484375","810.7098999023438","810.7098999023438","810.7098999023438","2242.305908203125","2242.305908203125","2242.305908203125"
"100","589.4517211914062","589.4517211914062","589.4517211914062","751.6233520507812","751.6233520507812","751.6233520507812","2739.70263671875","2739.70263671875","2739.70263671875"
